name	preview	download
Sitara-BoldItalic	https://fonts.google.com/specimen/Sitara	https://raw.githubusercontent.com/google/fonts/main/ofl/sitara/Sitara-BoldItalic.ttf
Sitara-Regular	https://fonts.google.com/specimen/Sitara	https://raw.githubusercontent.com/google/fonts/main/ofl/sitara/Sitara-Regular.ttf
Sitara-Bold	https://fonts.google.com/specimen/Sitara	https://raw.githubusercontent.com/google/fonts/main/ofl/sitara/Sitara-Bold.ttf
Sitara-Italic	https://fonts.google.com/specimen/Sitara	https://raw.githubusercontent.com/google/fonts/main/ofl/sitara/Sitara-Italic.ttf
Bokor-Regular	https://fonts.google.com/specimen/Bokor	https://raw.githubusercontent.com/google/fonts/main/ofl/bokor/Bokor-Regular.ttf
GoblinOne	https://fonts.google.com/specimen/Goblin+One	https://raw.githubusercontent.com/google/fonts/main/ofl/goblinone/GoblinOne.ttf
CabinSketch-Regular	https://fonts.google.com/specimen/Cabin+Sketch	https://raw.githubusercontent.com/google/fonts/main/ofl/cabinsketch/CabinSketch-Regular.ttf
CabinSketch-Bold	https://fonts.google.com/specimen/Cabin+Sketch	https://raw.githubusercontent.com/google/fonts/main/ofl/cabinsketch/CabinSketch-Bold.ttf
SreeKrushnadevaraya-Regular	https://fonts.google.com/specimen/Sree+Krushnadevaraya	https://raw.githubusercontent.com/google/fonts/main/ofl/sreekrushnadevaraya/SreeKrushnadevaraya-Regular.ttf
Mukta-ExtraBold	https://fonts.google.com/specimen/Mukta	https://raw.githubusercontent.com/google/fonts/main/ofl/mukta/Mukta-ExtraBold.ttf
Mukta-SemiBold	https://fonts.google.com/specimen/Mukta	https://raw.githubusercontent.com/google/fonts/main/ofl/mukta/Mukta-SemiBold.ttf
Mukta-Bold	https://fonts.google.com/specimen/Mukta	https://raw.githubusercontent.com/google/fonts/main/ofl/mukta/Mukta-Bold.ttf
Mukta-ExtraLight	https://fonts.google.com/specimen/Mukta	https://raw.githubusercontent.com/google/fonts/main/ofl/mukta/Mukta-ExtraLight.ttf
Mukta-Light	https://fonts.google.com/specimen/Mukta	https://raw.githubusercontent.com/google/fonts/main/ofl/mukta/Mukta-Light.ttf
Mukta-Medium	https://fonts.google.com/specimen/Mukta	https://raw.githubusercontent.com/google/fonts/main/ofl/mukta/Mukta-Medium.ttf
Mukta-Regular	https://fonts.google.com/specimen/Mukta	https://raw.githubusercontent.com/google/fonts/main/ofl/mukta/Mukta-Regular.ttf
KumbhSans-Bold	https://fonts.google.com/specimen/Kumbh+Sans	https://raw.githubusercontent.com/google/fonts/main/ofl/kumbhsans/KumbhSans-Bold.ttf
KumbhSans-Light	https://fonts.google.com/specimen/Kumbh+Sans	https://raw.githubusercontent.com/google/fonts/main/ofl/kumbhsans/KumbhSans-Light.ttf
KumbhSans-Regular	https://fonts.google.com/specimen/Kumbh+Sans	https://raw.githubusercontent.com/google/fonts/main/ofl/kumbhsans/KumbhSans-Regular.ttf
LaoMuangKhong-Regular	https://fonts.google.com/specimen/Lao+Muang+Khong	https://raw.githubusercontent.com/google/fonts/main/ofl/laomuangkhong/LaoMuangKhong-Regular.ttf
Lohit-Bengali	https://fonts.google.com/specimen/Lohit	https://raw.githubusercontent.com/google/fonts/main/ofl/lohitbengali/Lohit-Bengali.ttf
Overlock-BoldItalic	https://fonts.google.com/specimen/Overlock	https://raw.githubusercontent.com/google/fonts/main/ofl/overlock/Overlock-BoldItalic.ttf
